dates;SE;S;NE;N
1966-10-01;26601.49;15995.45;3536.12;2466.72
1966-11-01;39375.65;11162.97;5387.6;3899
1966-12-01;47878.74;11606.95;7555.42;6498.72
1967-01-01;74282.2;7712.19;14645.85;11625.33
1967-02-01;81015.14;9119.76;13590.69;15470.3
1967-03-01;72503.65;10908.2;12836.35;19223.5
1967-04-01;53791.42;4912.13;13017.05;29714.07
1967-05-01;35648.38;2737.23;8203.41;23395.85
1967-06-01;31446.51;5139.02;4605.07;16513.44
1967-07-01;24159.11;6223.97;3890.06;5017.82
1967-08-01;19147.25;9702.55;3367.89;2873.97
1967-09-01;17649.64;17432.68;2898.97;2086.3
1967-10-01;17590.04;7808.57;2696.97;1874.61
1967-11-01;30734.38;5634.69;4613.33;3117.82
1967-12-01;46864.13;7531.04;12320.33;6527.88
1968-01-01;59283.19;4253.23;16335.94;10609.38
1968-02-01;57426.82;3257.19;14619.63;14914.95
1968-03-01;64655.89;2366.39;20480.82;29841.21
1968-04-01;40460.14;2925.79;16124.12;30020.82
1968-05-01;27996.01;2443.8;7385.58;20668.02
1968-06-01;21316.07;2042.98;5029.11;9438.75
1968-07-01;17605.62;3806.97;4348.21;4998.25
1968-08-01;16737.34;1834.25;3939.86;2846.89
1968-09-01;15796.86;3902.25;3716.41;2133.35
1968-10-01;19121.1;3836.19;3754.04;1963.11
1968-11-01;24038.81;8129;5853.09;3190.78
1968-12-01;44322.12;5210.86;13591.51;12928.4
1969-01-01;41529.4;9411.45;10159.06;14173.51
1969-02-01;48045.09;10118.63;12903.91;19301.89
1969-03-01;43701.21;7358.31;13694.22;23880.62
1969-04-01;32750.64;12325.75;8088.1;21351.78
1969-05-01;23484.7;6773.71;5159.9;16738.61
1969-06-01;22857.27;14529.06;3900.47;8330.27
1969-07-01;16910.91;9920.5;3426.99;3969.4
1969-08-01;13344.24;4680.78;3020.65;2495.31
1969-09-01;11299.79;6848.02;2563.89;1742.41
1969-10-01;22740.24;7923.82;2653.68;1678.23
1969-11-01;41931.98;12112.19;6730.11;2463.57
1969-12-01;46686.95;5009.3;15556.68;5532.39
1970-01-01;65161.33;5178.14;19235.16;12718.83
1970-02-01;68292.4;4433.19;18984.75;20803.55
1970-03-01;69945.27;4388.99;15018.3;30959.16
1970-04-01;44793.96;3177.46;7891.31;22273.32
1970-05-01;33370.79;7246.53;6032.63;18743.77
1970-06-01;26730.33;13879.4;4399.52;7457.65
1970-07-01;23265.04;16813.41;3912.78;4011.02
1970-08-01;16543.78;6891.81;3390.99;2657.82
1970-09-01;21299.45;7185.42;3142.47;1928.05
1970-10-01;24132.25;9915.21;4661.34;2103.33
1970-11-01;27438.99;3952.85;9329.69;4315.35
1970-12-01;28773.73;10775.7;8838.95;4619.89
1971-01-01;38140.13;21704.98;5261.4;5318.4
1971-02-01;32235.72;11551.42;4493.71;10105.08
1971-03-01;37624.28;11745.93;5312.02;14015.51
1971-04-01;31190.97;12697.02;5169.43;19521.71
1971-05-01;24703.19;15146.98;3782.01;16013.86
1971-06-01;23346.78;18297.17;2765.89;9114.68
1971-07-01;20629.49;16385.79;2638.81;4847.31
1971-08-01;15053.61;12457.78;2279.79;2831.33
1971-09-01;14348.55;6891.27;2273.14;1923.17
1971-10-01;21336.25;7109.11;3233.92;2004.76
1971-11-01;29206.43;2754.47;7497.03;5285.95
1971-12-01;51498.59;2416.21;18099.4;9093.28
1972-01-01;48762.8;4679.57;15695.6;10660.43
1972-02-01;69368.12;12258.28;8442.46;18300.67
1972-03-01;65426.86;8985.49;9965.95;24244.94
1972-04-01;49427.83;7438.32;8859.83;22543.76
1972-05-01;32074.25;3074.1;5899.29;17246.22
1972-06-01;25563.19;13287.53;3853.53;7596.52
1972-07-01;25228.32;11422.6;3375.18;4109.84
1972-08-01;22105.17;22893.89;3170.56;2437.98
1972-09-01;22189.62;28869.69;2642.07;1805.99
1972-10-01;45422.16;18620.25;3876.73;1723.06
1972-11-01;48107.15;10940.46;5706.94;2543.39
1972-12-01;56669.66;10158.02;12032.33;5093.09
1973-01-01;64682.49;10643.13;13638.71;11616.26
1973-02-01;67852.72;10512.6;11217.29;13077.06
1973-03-01;62623.69;6810.25;10955.63;22537.69
1973-04-01;62340.5;5201.56;13698.79;28071.7
1973-05-01;41042.52;12362.32;6660.01;23130.89
1973-06-01;32676.1;14513.14;4443.58;10748.68
1973-07-01;27900.66;17867.6;3778.4;5752.64
1973-08-01;21590.27;20566.53;3084.17;3789.64
1973-09-01;21265.65;23203.54;2529.71;2394.54
1973-10-01;28539.91;14403.4;3742.42;3182.28
1973-11-01;41063.26;9262.73;9408.01;5985.63
1973-12-01;53623.66;5232.3;13140.14;11785.43
1974-01-01;75939.92;8180.64;13688.2;14541.99
